winery,wine,year,rating,num_review,region,price,type,grapes,region_map,region_map2
Conreria d'Scala Dei,Les Brugueres 2018,2018,4.2,417,España / Cataluña / Priorato,32.08,Vino tinto,"Shiraz/Syrah, Garnacha Tinta",Cataluña,Cataluña
Gallina,Tempranillo 2020,2020,3.7,39,España / Castilla / La Mancha,5.64,Vino tinto,100 % de Tempranillo,Castilla,Castilla
MontRubí,Durona Tinto 2018,2018,3.5,31,España / Cataluña / Penedès,14.50,Otro,"Garnacha, Samsó, Sumoll",Cataluña,Cataluña
Hacienda Solano,Peña Lobera 2016,2016,4.6,58,España / Castilla y León / Ribera del Duero,74.50,Vino tinto,100 % de Tinto Fino,Castilla y León,Castilla y León
Viña Mayor,Rueda Verdejo 2021,2021,3.9,245,España / Castilla y León / Rueda,5.95,Vino blanco,100 % de Verdejo,Castilla y León,Castilla y León
Gramona,Cava Enoteca Finca La Plana Brut Nature 2000,2000,4.3,49,España / Cava,152,Vino espumoso,"Chardonnay, Tempranillo, Macabeo, Xarel-lo, Parellada",Cava,Cava
Vega Sicilia,Unico Reserva Especial Edición 2020,2020,4.8,88,España / Castilla y León / Ribera del Duero,435.75,Vino tinto,100 % de Tinto Fino,Castilla y León,Castilla y León
Fuentespina,Granate Roble (Oak Aged) Ribera del Duero 2020,2020,3.0,35,España / Castilla y León / Ribera del Duero,5.90,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Bodegas El Nido,El Nido 2019,2019,4.7,149,España / Murcia / Jumilla,147.48,Vino tinto,100 % de Cabernet Sauvignon,Murcia,Murcia
Soto y Manrique,Naranjas Azules Garnacha Rosado 2021,2021,3.6,46,España / Castilla y León,8.40,Vino rosado,100 % de Garnacha,Castilla y León,Castilla y León
La Rioja Alta,Viña Ardanza Reserva 1985,1985,4.4,74,España / Rioja,22.50,Vino tinto,"Tempranillo, Graciano",Rioja,Rioja
Bodegas Faustino,V Reserva 2001,2001,4.0,185,España / Rioja,19.36,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Pago de Carraovejas,Tinto 2019,2019,4.5,3698,España / Castilla y León / Ribera del Duero,34.90,Vino tinto,100 % de Merlot,Castilla y León,Castilla y León
Herència Altés,Trementinaire Garnatxa Blanca 2018,2018,4.1,38,España / Cataluña / Terra Alta,17.95,Vino blanco,Grenache Blanc,Cataluña,Cataluña
Remírez de Ganuza,Rioja Reserva Fincas de Ganuza 2005,2005,4.0,547,España / Rioja,49.95,Vino tinto,"Tempranillo, Graciano, Viura",Rioja,Rioja
Dominio de Pingus,Flor de Pingus 2005,2005,4.5,672,España / Castilla y León / Ribera del Duero,125,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Bodegas Valdemar,Conde de Valdemar Blanco 2020,2020,3.7,124,España / Rioja,5.80,Vino blanco,100 % de Viura,Rioja,Rioja
Terroir Al Límit Soc. Lda,Historic Tinto 2019,2019,3.8,46,España / Cataluña / Priorato,17.90,Vino tinto,100 % de Garnacha,Cataluña,Cataluña
Habla,Habla de Ti Sauvignon Blanc 2020,2020,4.0,528,España / Extremadura,9.90,Vino blanco,100 % de Sauvignon Blanc,Extremadura,Extremadura
Mas Patiràs,La Goja 2019,2019,3.4,26,España / Cataluña / Empordà,12.35,Vino tinto,100 % de Grenache,Cataluña,Cataluña
Viñátigo,Listán Negro 2020,2020,3.8,82,España / Islas Canarias / Ycoden-Daute-Isora,15.90,Vino tinto,100 % de Listan Negro,Islas Canarias,Islas Canarias
Bodegas Luis Perez,Tintilla Balbaina 2019,2019,4.0,43,España / Andalucía / Cádiz,19.95,Vino tinto,"Palomino, Tintilla de Rota",Andalucía,Andalucía
Consejo de la Alta,Cata de Consejero Tempranillo 2014,2014,4.0,71,España / Rioja,35.95,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Can Xanet,Sibila 2017,2017,4.3,35,España / Islas Baleares / Mallorca,32.46,Vino tinto,Gorgollasa,Islas Baleares,Islas Baleares
Vinos en Voz Baja,Costumbres Tinto 2019,2019,4.0,95,España / Rioja,15.25,Otro,"Garnacha, Graciano",Rioja,Rioja
Leda,Mas de Leda 2013,2013,3.7,328,España / Castilla y León,12.90,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Mas Bertran,La Graua 2012,2012,3.8,31,España / Cataluña / Penedès,13.60,Vino espumoso,"Macabeo, Xarel-lo",Cataluña,Cataluña
Emendis,Cabró! Negre Selecció 2021,2021,3.2,31,España / Cataluña / Penedès,5.19,Vino tinto,"Cabernet Sauvignon, Cabernet Franc, Tempranillo",Cataluña,Cataluña
Atalaya,La Atalaya del Camino 2020,2020,4.1,280,España / Castilla / Almansa,10.27,Vino tinto,100 % de Garnacha Tintorera,Castilla,Castilla
Thunder Wine Makers,Fils de Vi 2019,2019,3.8,61,España / Cataluña / Priorato,21,Vino tinto,100 % de Garnacha,Cataluña,Cataluña
Pujanza,Rioja Norte 2013,2013,4.1,43,España / Rioja,49.90,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Coca i Fitó,Rosa 2018,2018,3.9,27,España / Cataluña / Tarragona / Montsant,14.90,Vino rosado,100 % de Shiraz/Syrah,Cataluña,Cataluña
Casal de Armán,Blanco 2021,2021,4.0,28,España / Galicia / Ribeiro,12.45,Vino blanco,"Albariño, Godello, Treixadura",Galicia,Galicia
Loxarel,Vintage Reserva Brut Nature 2014,2014,3.9,81,España / Cataluña / Penedès,6.45,Otro,"Macabeo, Xarel-lo, Chardonnay",Cataluña,Cataluña
Finca Río Negro,992 2019,2019,3.7,40,España / Castilla,10.74,Vino tinto,"84 % de Tempranillo, 11 % de Shiraz/Syrah, 3 % de Merlot, 2 % de Cabernet Sauvignon",Castilla,Castilla
Sierra Cantabria,Organza 2017,2017,3.8,83,España / Rioja,16.75,Vino blanco,"45 % de Viura, 35 % de Garnacha Blanca, 20 % de Malvasia",Rioja,Rioja
El Mas de l'A,Quars 2018,2018,4.1,78,España / Cataluña / Priorato,21.90,Vino blanco,Grenache Blanc,Cataluña,Cataluña
Viñas del Vero,Blecua Somontano 2003,2003,4.3,81,España / Aragón / Somontano,73.90,Vino tinto,100 % de Cabernet Sauvignon,Aragón,Aragón
D. Mateos,La Mateo Garnacha Cepas Viejas 2017,2017,4.1,225,España / Rioja,32.95,Vino tinto,100 % de Garnacha,Rioja,Rioja
Lopez Cristobal,Tinto Crianza 2018,2018,3.9,149,España / Castilla y León / Ribera del Duero,15.50,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Viñas del Vero,Gewürztraminer Somontano 2016,2016,3.9,873,España / Aragón / Somontano,12,Vino blanco,100 % de Gewürztraminer,Aragón,Aragón
Martinez Lacuesta,Ventilla 71 Rioja 2008,2008,3.9,59,España / Rioja,10.95,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Cuevas de Arom,AS Ladieras 2018,2018,3.7,86,España / Aragón / Campo de Borja,16.75,Vino tinto,100 % de Garnacha,Aragón,Aragón
Castillo Clavijo,Rioja Crianza Tempranillo - Garnacha 2012,2012,3.5,483,España / Rioja,6.20,Vino tinto,"Tempranillo, Garnacha",Rioja,Rioja
Venta La Vega - Bodegas Almanseñas,Ternario 2 2016,2016,3.4,44,España / Castilla / Almansa,10.90,Vino tinto,100 % de Garnacha Tintorera,Castilla,Castilla
Alta Alella,Pansa Blanca 2020,2020,3.7,116,España / Cataluña / Alella,7.85,Vino blanco,100 % de Xarel-lo,Cataluña,Cataluña
Comando G,La Mujer Cañón 2016,2016,4.1,31,España / Madrid,89.25,Vino tinto,100 % de Garnacha,Madrid,Madrid
Bodegas Vallobera,Crianza Rioja 2018,2018,3.7,425,España / Rioja,8.40,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Escoda-Sanahuja,Els Bassots 2019,2019,4.1,181,España / Cataluña / Conca de Barberà,22.34,Otro,100 % de Cariñena,Cataluña,Cataluña
Cartoixa de Montsalvat,Montsalvat 2007,2007,4.3,63,España / Cataluña / Priorato,44.90,Vino tinto,100 % de Garnacha,Cataluña,Cataluña
Rico Nuevo,Jirón de Niebla 2018,2018,3.8,37,España / Castilla y León,29.45,Vino tinto,100 % de Garnacha,Castilla y León,Castilla y León
El Coto,875m Finca Carbonera Tinta di Altura Tempranillo 2018,2018,3.6,196,España / Rioja,10.50,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Marqués de Cáceres,Gaudium 2012,2012,4.3,1137,España / Rioja,43.86,Vino tinto,"95 % de Tempranillo, 5 % de Graciano",Rioja,Rioja
Martinet,Els Escurçons 2018,2018,4.3,71,España / Cataluña / Priorato,75.50,Vino tinto,100 % de Garnacha,Cataluña,Cataluña
Castillo Perelada,Només Garnatxa Blanca 2020,2020,3.9,148,España / Cataluña / Empordà,7.25,Vino blanco,100 % de Garnacha Blanca,Cataluña,Cataluña
Leyenda del Páramo,El Músico 2012,2012,3.9,91,España / Castilla y León / Tierra de León,21.85,Vino tinto,100 % de Prieto Picudo,Castilla y León,Castilla y León
Suertes del Marqués,Sortevera Tinto 2018,2018,3.9,51,España / Islas Canarias,33.40,Vino tinto,"Tintilia, Vijiriega, Negramoll",Islas Canarias,Islas Canarias
Vega Sicilia,Valbuena 5º 2013,2013,4.6,4881,España / Castilla y León / Ribera del Duero,194.81,Otro,100 % de Tempranillo,Castilla y León,Castilla y León
D. Mateos,Valcendon Crianza 2018,2018,3.9,58,España / Rioja,12.95,Vino tinto,"Garnacha, Tempranillo, Graciano",Rioja,Rioja
Dominio Basconcillos,Viña Magna 6 Meses en Barrica Tempranillo 2020,2020,4.0,45,España / Castilla y León / Ribera del Duero,12,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Enrique Mendoza,Estrecho Monastrell 2017,2017,4.1,510,España / Valencia / Alicante,18.90,Vino tinto,100 % de Monastrell,Valencia,Valencia
Atalaya,Alaya Tierra (Old Vines Vieilles Vignes) 2017,2017,4.4,1981,España / Castilla / Almansa,21.90,Vino tinto,"Cabernet Sauvignon, Grenache",Castilla,Castilla
Tianna Negre,Ses Nines Selecció 07/9 2015,2015,3.9,89,España / Islas Baleares / Mallorca / Binissalem-Mallorca,14.90,Vino tinto,"Shiraz/Syrah, Cabernet Sauvignon, Merlot, Callet, Manto Negro",Islas Baleares,Islas Baleares
Finca Torremilanos,Torre Albéniz Reserva Ribera del Duero 2015,2015,4.2,647,España / Castilla y León / Ribera del Duero,26.50,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
El Grifo,Malvasia Seco 2019,2019,3.7,118,España / Islas Canarias / Lanzarote,14.90,Vino blanco,100 % de Malvasia,Islas Canarias,Islas Canarias
Montecillo,Rioja Gran Reserva 2011,2011,3.9,3309,España / Rioja,18.50,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Coca i Fitó,Tocat de l'Ala Negre 2018,2018,3.9,288,España / Cataluña / Empordà,11.45,Otro,"55 % de Cariñena, 35 % de Garnacha, 10 % de Shiraz/Syrah",Cataluña,Cataluña
Bodega Sommos,Lamin Garnacha Vinas Viejas 2017,2017,4.0,196,España / Aragón / Calatayud,26.75,Vino tinto,100 % de Garnacha,Aragón,Aragón
VALENCISO,Rioja Reserva 2010,2010,4.1,1781,España / Rioja,41.50,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Ribera de Pelazas,Abadengo 60 Años Crianza 2006,2006,3.9,34,España / Castilla y León,15.40,Vino tinto,Juan Garcia,Castilla y León,Castilla y León
Luis Cañas,Reserva Selección de la Familia 2014,2014,4.3,1039,España / Rioja,20.03,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Los Aguilares,Pago El Espino 2019,2019,4.3,234,España / Andalucía / Sierras de Málaga,18.90,Vino tinto,"72 % de Petit Verdot, 19 % de Shiraz/Syrah, 9 % de Tempranillo",Andalucía,Andalucía
Parxet,Cava Reserva Brut 2018,2018,3.9,50,España / Cava,10.85,Vino espumoso,"Xarel-lo, Parellada, Macabeo",Cava,Cava
Gramona,Mart Xarel-lo Vermell 2018,2018,3.8,119,España / Cataluña / Penedès,11.40,Vino rosado,100 % de Xarel-lo,Cataluña,Cataluña
Abadal,5 Merlot 2018,2018,3.9,42,España / Cataluña / Pla de Bages,14.89,Vino tinto,100 % de Merlot,Cataluña,Cataluña
Contino,Rioja Garnacha 2018,2018,4.1,146,España / Rioja,26.24,Vino tinto,100 % de Garnacha,Rioja,Rioja
Familia Torres,Verdeo Verdejo 2020,2020,3.6,571,España / Castilla y León / Rueda,6.20,Vino blanco,100 % de Verdejo,Castilla y León,Castilla y León
Sumarroca,Tuví Or Not To Be 2020,2020,3.9,152,España / Cataluña / Penedès,8.95,Vino blanco,"Gewürztraminer, Riesling, Viognier, Xarel-lo",Cataluña,Cataluña
Adega Ponte da Boga,Godello 2019,2019,3.9,173,España / Galicia / Ribeira Sacra,12.50,Vino blanco,100 % de Godello,Galicia,Galicia
El Coto,Coto Real Reserva 2014,2014,3.7,187,España / Rioja,24.90,Vino tinto,"Garnacha Tinta, Tempranillo",Rioja,Rioja
Viñas del Vero,Blecua Somontano 2014,2014,4.4,55,España / Aragón / Somontano,76.95,Vino tinto,100 % de Cabernet Sauvignon,Aragón,Aragón
Dominio Basconcillos,Viña Magna Reserva 2016,2016,4.5,32,España / Castilla y León / Ribera del Duero,35.88,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Marqués de la Concordia,Crianza Rioja 2015,2015,3.7,780,España / Rioja,6.47,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Avancia,Cuvée de O Godello 2019,2019,3.9,186,España / Galicia / Valdeorras,15.95,Vino blanco,100 % de Godello,Galicia,Galicia
Bodegas Virgen de Galir,Maruxa Godello 2020,2020,3.8,296,España / Galicia / Valdeorras,8.99,Vino blanco,100 % de Godello,Galicia,Galicia
Obalo,Joven Rioja 2012,2012,3.3,94,España / Rioja,7.40,Otro,100 % de Tempranillo,Rioja,Rioja
Artadi,Viña El Pison 2007,2007,4.4,157,España / Vino de España,390,Otro,100 % de Tempranillo,Vino de España,Vino de España
Amézola de la Mora,Viña Amézola Crianza 2016,2016,3.6,292,España / Rioja,6.98,Vino tinto,"85 % de Tempranillo, 10 % de Mazuelo, 5 % de Graciano",Rioja,Rioja
Clos Mogador,Nelin Priorat 2016,2016,4.3,325,España / Cataluña / Priorato,44.50,Vino blanco,100 % de Garnacha Blanca,Cataluña,Cataluña
Izadi,Larrosa Blanc 2019,2019,3.7,78,España / Rioja,7.50,Vino blanco,100 % de Garnacha Blanca,Rioja,Rioja
El Sacramento,Tinto 2013,2013,4.2,64,España / Rioja,39.95,Otro,100 % de Tempranillo,Rioja,Rioja
Bodegas Mas Alta,Cirerets 2018,2018,4.4,260,España / Cataluña / Priorato,40.30,Otro,100 % de Cariñena,Cataluña,Cataluña
Matarromera,Ribera del Duero Prestigio Pago de las Solanas 2001,2001,4.6,147,España / Castilla y León / Ribera del Duero,219.25,Otro,100 % de Tempranillo,Castilla y León,Castilla y León
Mas Foraster,Josep Foraster Trepat 2021,2021,3.7,59,España / Cataluña / Conca de Barberà,13.45,Vino tinto,Trepat,Cataluña,Cataluña
Obalo,Joven Rioja 2016,2016,3.8,163,España / Rioja,15.50,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Bermejo,Diego Seco 2018,2018,3.9,41,España / Islas Canarias / Lanzarote,19.50,Vino blanco,Vijiriega,Islas Canarias,Islas Canarias
Territorio Luthier,Lara O 2015,2015,4.1,83,España / Castilla y León / Ribera del Duero,14,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Celler Piñol,L'Avi Arrufi 2016,2016,3.9,79,Terra Alta,18.60,Vino tinto,100 % de Garnacha Blanca,Terra Alta,Terra Alta
Muga,Torre Muga 2005,2005,4.3,476,España / Rioja,65,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Pazos de Lusco,Lusco Albariño 2019,2019,3.9,188,España / Galicia / Rías Baixas,16.27,Vino blanco,100 % de Albariño,Galicia,Galicia
Amor Per La Terra,El Torrent de la Bruixa 2019,2019,3.8,28,España / Cataluña / Empordà,32.68,Vino espumoso,"Macabeo, Xarel-lo, Parellada",Cataluña,Cataluña
Familia Torres,Atrium Chardonnay 2020,2020,3.6,74,España / Cataluña / Penedès,8.95,Vino blanco,100 % de Chardonnay,Cataluña,Cataluña
Pardevalles,Gamonal 2018,2018,3.9,65,España / Castilla y León / Tierra de León,12.05,Otro,Prieto Picudo,Castilla y León,Castilla y León
Pradorey,Adaro 2017,2017,4.2,457,España / Castilla y León / Ribera del Duero,20.95,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Bodega Sommos,Varietales Tinto 2019,2019,3.9,283,España / Aragón / Somontano,8.30,Vino tinto,"45 % de Tempranillo, 35 % de Merlot, 20 % de Shiraz/Syrah",Aragón,Aragón
Castillo Perelada,Finca La Garriga 2016,2016,4.1,204,España / Cataluña / Empordà,15.50,Vino tinto,100 % de Samsó,Cataluña,Cataluña
Carlos Moro,Finca Valdehierro Tempranillo 16 Meses Barrica 2014,2014,4.0,71,España / Castilla y León / Cigales,26.80,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Coma d'En Bonet,Prohom Experientia Negre 2018,2018,3.9,161,España / Cataluña / Terra Alta,10.50,Vino tinto,"Shiraz/Syrah, Cabernet Sauvignon, Cariñena, Garnacha",Cataluña,Cataluña
Terroir Al Límit Soc. Lda,Torroja 2017,2017,3.9,594,España / Cataluña / Priorato,30.31,Vino tinto,"50 % de Cariñena, 50 % de Garnacha",Cataluña,Cataluña
Joan d'Anguera,Finca l'Argatà 2018,2018,3.9,48,España / Cataluña / Tarragona / Montsant,23.55,Vino tinto,100 % de Garnacha,Cataluña,Cataluña
Bodegas Mauro,Godello Blanco 2020,2020,4.2,82,España / Castilla y León / Bierzo,40.70,Vino blanco,100 % de Godello,Castilla y León,Castilla y León
Finca Villacreces,Ribera del Duero 2015,2015,3.9,1070,España / Castilla y León / Ribera del Duero,24.95,Vino tinto,"86 % de Tinto Fino, 10 % de Cabernet Sauvignon, 4 % de Merlot",Castilla y León,Castilla y León
Muga,Torre Muga 2016,2016,4.5,1003,España / Rioja,65,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Pagos de Aráiz,Joven 2020,2020,3.3,46,España / Navarra,3.50,Vino tinto,"Tempranillo, Garnacha",Navarra,Navarra
Oliver Conti,Indispensable Blanc 2020,2020,3.6,149,España / Cataluña / Empordà,5.90,Vino blanco,100 % de Garnacha Blanca,Cataluña,Cataluña
Albet i Noya,Efecte Classic Penedès Brut Reserva 2018,2018,3.9,74,España / Cataluña / Penedès,12.20,Vino espumoso,"Chardonnay, Macabeo, Xarel-lo, Parellada",Cataluña,Cataluña
Martinez Alesanco,Reserva 2016,2016,3.7,137,España / Rioja,13.90,Otro,"Tempranillo, Garnacha",Rioja,Rioja
Pago de Cirsus,Selección de Familia 2017,2017,3.9,27,España / Navarra,18.50,Vino tinto,"Shiraz/Syrah, Tempranillo",Navarra,Navarra
Casa Rojo,La Gabacha Sauvignon Blanc 2020,2020,3.8,254,España / Castilla y León / Rueda,8.25,Otro,100 % de Sauvignon Blanc,Castilla y León,Castilla y León
Clos Figueras,Serras del Priorat 2019,2019,4.1,192,España / Cataluña / Priorato,18.95,Vino tinto,100 % de Cariñena,Cataluña,Cataluña
Can Sumoi,La Rosa 2019,2019,3.6,270,España / Cataluña / Penedès,11.65,Otro,"50 % de Sumoll, 30 % de Parellada, 20 % de Xarel-lo",Cataluña,Cataluña
Marqués de Riscal,Rioja Reserva 2002,2002,4.0,457,España / Rioja,33,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Sierra Cantabria,Rosado 2019,2019,3.8,43,España / Rioja,6.03,Vino rosado,100 % de Tempranillo,Rioja,Rioja
Finca Nueva,Reserva 2010,2010,3.8,110,España / Rioja,17.70,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Cal Grau,La Petite Agnès 2015,2015,3.7,711,España / Cataluña / Priorato,10.85,Vino tinto,"Carignan, Grenache",Cataluña,Cataluña
Bodegas Cosme Palacio,Cosme Palacio Crianza Viñedos en Altitud 2017,2017,3.9,445,España / Rioja,14.50,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Terras Gauda,Abadía de San Campio 2019,2019,4.0,2434,España / Galicia / Rías Baixas,12.49,Vino blanco,100 % de Albariño,Galicia,Galicia
Abadal,3.9 2016,2016,4.2,452,España / Cataluña / Pla de Bages,56.55,Vino tinto,100 % de Cabernet Sauvignon,Cataluña,Cataluña
Rafael Palacios,As Sortes Val do Bibei Godello 2019,2019,4.4,373,España / Galicia / Valdeorras,149,Vino blanco,100 % de Godello,Galicia,Galicia
Astrales,Albariño 2020,2020,3.9,35,España / Galicia / Rías Baixas,17.50,Vino blanco,100 % de Albariño,Galicia,Galicia
Albamar,Albariño 2020,2020,4.0,858,España / Galicia / Rías Baixas,21,Vino blanco,100 % de Albariño,Galicia,Galicia
Pago de Los Capellanes,O Luar do Sil Valdeorras Godello Sobre Lias 2017,2017,4.1,385,España / Galicia / Valdeorras,19.17,Vino blanco,100 % de Godello,Galicia,Galicia
Telmo Rodriguez,O Barreiro Gaba do Xil Blanco 2021,2021,4.1,80,España / Galicia / Valdeorras,13.30,Vino blanco,100 % de Godello,Galicia,Galicia
Alcorta,Marques de Villamagna Crianza 2012,2012,3.7,55,España / Rioja,10.60,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Vinyes Domenech,Boig per Tu 2018,2018,3.9,150,España / Cataluña / Tarragona / Montsant,12.64,Vino tinto,100 % de Garnacha,Cataluña,Cataluña
Bodega Dussart Pedrón,Le Bobal 2019,2019,3.9,55,España / Valencia,17.85,Vino tinto,100 % de Bobal,Valencia,Valencia
Carles Andreu,12 @ Trepat 2020,2020,3.5,34,España / Cataluña / Conca de Barberà,8.30,Vino tinto,Trepat,Cataluña,Cataluña
Bodegas Ximénez-Spínola,Original Exceptional Harvest 2020,2020,4.2,66,España / Andalucía / Jerez-Xérès-Sherry,16.50,Vino fortificado,100 % de Pedro Ximenez,Andalucía,Andalucía
Raimat,Pirinenca Tempranillo 2019,2019,3.6,40,España / Cataluña,9.35,Vino tinto,100 % de Tempranillo,Cataluña,Cataluña
Tridente,Mencia 2014,2014,3.6,334,España / Castilla y León,9.20,Vino tinto,100 % de Mencia,Castilla y León,Castilla y León
Marqués de Murrieta,Dalmau Rioja 2014,2014,4.5,660,España / Rioja,84.95,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Mesta,Verdejo 2016,2016,3.5,929,España / Castilla / Uclés,3.94,Otro,100 % de Tempranillo,Castilla,Castilla
La Vizcaína,Las Gundiñas (Lomas de Valtuille) 2019,2019,4.0,85,España / Castilla y León / Bierzo,21.90,Vino tinto,100 % de Mencia,Castilla y León,Castilla y León
Bodegas Bordoy,Sa Rota Crianza 2016,2016,3.8,36,España / Islas Baleares / Mallorca / Plà i Llevant,9.99,Vino tinto,"Shiraz/Syrah, Cabernet Sauvignon, Merlot",Islas Baleares,Islas Baleares
Quinta Sardonia,QS 2014,2014,4.3,370,España / Castilla y León,34.50,Vino tinto,100 % de Tinto Fino,Castilla y León,Castilla y León
Recaredo,Intens Rosat Brut Nature 2018,2018,4.1,125,España / Cataluña / Penedès,21.20,Vino espumoso,"Pinot Noir, Monastrell, Garnacha",Cataluña,Cataluña
Dosterras,Finca Aiguasals 2016,2016,4.0,46,España / Cataluña / Tarragona / Montsant,29.90,Vino tinto,100 % de Cariñena,Cataluña,Cataluña
Protos,Ecológico Verdejo 2019,2019,4.1,44,España / Castilla y León / Rueda,7.58,Vino blanco,100 % de Verdejo,Castilla y León,Castilla y León
Finca Parera,Fosc 2020,2020,3.8,74,España / Cataluña / Penedès,9.90,Vino tinto,"Shiraz/Syrah, Ull de Llebre, Sumoll",Cataluña,Cataluña
Más Que Vinos,El Señorito de Ercavio 2016,2016,4.0,63,España / Castilla,16.95,Otro,100 % de Tempranillo,Castilla,Castilla
Enrique Mendoza,Finca Xaconero Monastrell 2017,2017,4.0,665,España / Valencia / Alicante,11.75,Vino tinto,100 % de Monastrell,Valencia,Valencia
Bodegas Martín Códax,Rías Baixas Albariño 2021,2021,3.9,394,España / Galicia / Rías Baixas,11.88,Vino blanco,100 % de Albariño,Galicia,Galicia
Dominio del Águila,Pícaro Viñas Viejas 2019,2019,4.1,1506,España / Castilla y León / Ribera del Duero,24.75,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Baigorri,Crianza Tempranillo 2017,2017,3.9,995,España / Rioja,13.88,Vino tinto,"90 % de Tempranillo, 10 % de Garnacha",Rioja,Rioja
Acustic Celler,Auditori 2013,2013,4.2,203,España / Cataluña / Tarragona / Montsant,43.90,Vino tinto,100 % de Garnacha,Cataluña,Cataluña
I Tant,Garnatxa Negra 2018,2018,3.6,211,España / Cataluña / Tarragona / Montsant,9.75,Otro,100 % de Grenache,Cataluña,Cataluña
Marqués de Murrieta,Reserva Rioja (Finca Ygay) 1988,1988,4.6,47,España / Rioja,113.88,Vino tinto,"Garnacha, Tempranillo, Mazuelo, Graciano",Rioja,Rioja
Agusti Torello Mata,Xic Xarel-lo 2020,2020,3.6,141,España / Cataluña / Penedès,6.40,Vino blanco,100 % de Xarel-lo,Cataluña,Cataluña
Alta Alella,Capsigrany Natural Rosé 2016,2016,4.0,78,España / Cava,20.60,Vino espumoso,100 % de Xarel-lo,Cava,Cava
Enate,Gewürztraminer Dulce 2018,2018,4.2,37,España / Aragón / Somontano,12.50,Otro,Gewürztraminer,Aragón,Aragón
Maguila,Cachito Mío Toro 2016,2016,4.1,61,España / Castilla y León / Toro,16.45,Otro,Tinta de toro,Castilla y León,Castilla y León
Patrocinio,Zinio Crianza Tempranillo 2015,2015,3.7,70,España / Rioja / Rioja Alta,8.66,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Loxarel,Mas Cargols Pinot Noir 2008,2008,3.2,37,España / Cataluña / Penedès,11.10,Vino tinto,Pinot Noir,Cataluña,Cataluña
Martinet,Clos Martinet 2006,2006,4.3,210,España / Cataluña / Priorato,62.40,Vino tinto,100 % de Garnacha,Cataluña,Cataluña
Voché,Crianza 2017,2017,3.9,139,España / Rioja,14.95,Vino tinto,100 % de Graciano,Rioja,Rioja
Blanco Nieva,Pie Franco Verdejo 2021,2021,3.9,26,España / Castilla y León / Rueda,10.78,Vino blanco,100 % de Verdejo,Castilla y León,Castilla y León
Volver,Rafael Cañizares Sauvignon Blanc 2020,2020,4.0,26,España / Valencia / Alicante,7.59,Vino blanco,100 % de Sauvignon Blanc,Valencia,Valencia
Jose Antonio García,Aires de Vendimia Godello 2016,2016,3.9,29,España / Castilla y León / Bierzo,51.40,Vino blanco,100 % de Godello,Castilla y León,Castilla y León
Avgvstvs,Chardonnay 2021,2021,4.1,53,España / Cataluña / Penedès,17.69,Vino blanco,100 % de Chardonnay,Cataluña,Cataluña
Remelluri,Lindes de Remelluri Viñedos de Labastida 2017,2017,4.0,223,España / Rioja,14.10,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Destinos Cruzados,As Regadas 2016,2016,3.8,27,España / Galicia / Rías Baixas,17.95,Vino tinto,100 % de Mencia,Galicia,Galicia
Baron de Ley,Rioja Reserva 2015,2015,3.9,4364,España / Rioja,10.85,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Marqués de Murrieta,Gran Reserva Rioja (Finca Ygay) 2011,2011,4.3,1142,España / Rioja,94.95,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Más Que Vinos,La Plazuela 2015,2015,4.3,170,España / Castilla,38.34,Otro,"80 % de Tempranillo, 20 % de Garnacha Tintorera",Castilla,Castilla
Viña Bujanda,Rioja Crianza 2018,2018,3.7,264,España / Rioja,5.85,Vino tinto,100 % de Tempranillo,Rioja,Rioja
